name
Abbey Single Ale
Altbier
American Adjunct Lager
American Amber / Red Ale
American Amber / Red Lager
American Barleywine
American Black Ale
American Blonde Ale
American Brown Ale
American Dark Wheat Ale
American Double / Imperial IPA
American Double / Imperial Pilsner
American Double / Imperial Stout
American India Pale Lager
American IPA
American Malt Liquor
American Pale Ale (APA)
American Pale Lager
American Pale Wheat Ale
American Pilsner
American Porter
American Stout
American Strong Ale
American White IPA
American Wild Ale
Baltic Porter
Belgian Dark Ale
Belgian IPA
Belgian Pale Ale
Belgian Strong Dark Ale
Belgian Strong Pale Ale
Berliner Weissbier
Biere De Garde
Bock
Braggot
California Common / Steam Beer
Chile Beer
Cider
Cream Ale
Czech Pilsener
Doppelbock
Dortmunder / Export Lager
Dubbel
Dunkelweizen
English Barleywine
English Bitter
English Brown Ale
English Dark Mild Ale
English India Pale Ale (IPA)
English Pale Ale
English Pale Mild Ale
English Stout
English Strong Ale
Euro Dark Lager
Euro Pale Lager
Extra Special / Strong Bitter (ESB)
Flanders Oud Bruin
Flanders Red Ale
Foreign / Export Stout
Fruit / Vegetable Beer
German Pilsener
Gose
Grisette
Hefeweizen
Herbed / Spiced Beer
Irish Dry Stout
Irish Red Ale
Keller Bier / Zwickel Bier
Kolsch
Kristalweizen
Light Lager
Low Alcohol Beer
Maibock / Helles Bock
Marzen / Oktoberfest
Mead
Milk / Sweet Stout
Munich Dunkel Lager
Munich Helles Lager
Oatmeal Stout
Old Ale
Other
Pumpkin Ale
Quadrupel (Quad)
Radler
Rauchbier
Roggenbier
Russian Imperial Stout
Rye Beer
Saison / Farmhouse Ale
Schwarzbier
Scotch Ale / Wee Heavy
Scottish Ale
Shandy
Smoked Beer
Tripel
Vienna Lager
Wheat Ale
Winter Warmer
Witbier
